year,outcome,value
2011,disconnect,36.2
2011,assistor,34.2
2011,automated,42.3
2012,disconnect,41
2012,assistor,30.8
2012,automated,59.2
2013,disconnect,44.2
2013,assistor,30.1
2013,automated,54
2014,disconnect,35.1
2014,assistor,23.1
2014,automated,40.8
2015,disconnect,56.2
2015,assistor,18.2
2015,automated,37.5
2016,disconnect,50.6
2016,assistor,25.5
2016,automated,38.3
